NAME, X, Y, Z, W, SUM
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.688644,-0.669468,-0.180514, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.741681,-0.669468,-0.1114, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.18472,-0.985992,0.5841, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.688644,-0.669468,-0.180514, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.835046,-0.333333,-0.50601, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.899359,-0.333333,-0.422202, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.741681,-0.669468,-0.1114, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.835046,-0.333333,-0.50601, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.843192,-0.0175099,-0.563231, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.908131,-0.0175099,-0.473475, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.899359,-0.333333,-0.422202, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.843192,-0.0175099,-0.563231, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.766673,0.32736,-0.421111, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.825719,0.32736,-0.339501, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.908131,-0.0175099,-0.473475, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.766673,0.32736,-0.421111, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.607429,0.575362,-0.156017, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.654211,0.575362,-0.0913582, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.825719,0.32736,-0.339501, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.202558,1.03035,0.579944, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.177382,1.03035,0.567698, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.177382,1.03035,1.00401, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.202516,1.03035,0.996189, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.177382,1.03035,0.567698, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.177382,1.03035,0.567698, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.177382,1.03035,1.00401, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.177382,1.03035,1.00401, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.171511,-0.985992,0.565843, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.150194,-0.985992,0.555474, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.150194,-0.985992,0.924914, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.171475,-0.985992,0.918288, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.150194,-0.985992,0.555474, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.150194,-0.985992,0.555474, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, -0.150194,-0.985992,0.924914, , 
Ind, 0,0,0,0, 
Wgh, 0,0,0,0,0
Pos, 0.150194,-0.985992,0.924914, , 
